timestamp,pm25_0,pm25_1,pm25_2,pm25_3,temperature,humidity
1605618720,56.0,59.0,66.0,71.0,27.3,46.7
1605618721,56.0,59.0,66.0,71.0,27.3,46.7
1605618722,56.0,59.0,67.0,71.0,27.3,46.7
1605618723,56.0,59.0,67.0,71.0,27.3,46.7
1605618724,56.0,59.0,67.0,71.0,27.3,46.7
1605618725,57.0,59.0,67.0,71.0,27.3,46.6
1605618726,57.0,60.0,67.0,71.0,27.3,46.6
1605618727,57.0,60.0,67.0,71.0,27.3,46.6
1605618728,57.0,60.0,66.0,71.0,27.3,46.6
1605618729,57.0,60.0,66.0,71.0,27.3,46.6
1605618730,57.0,59.0,66.0,70.0,27.2,46.6
1605618731,57.0,60.0,65.0,70.0,27.2,46.6
1605618732,56.0,60.0,65.0,70.0,27.2,46.6
1605618733,56.0,60.0,65.0,70.0,27.2,46.6
1605618734,56.0,60.0,65.0,70.0,27.2,46.6
1605618735,55.0,60.0,64.0,70.0,27.2,46.5
1605618736,55.0,60.0,64.0,70.0,27.2,46.5
1605618737,55.0,60.0,64.0,69.0,27.2,46.5
1605618738,55.0,60.0,64.0,69.0,27.2,46.5
1605618739,55.0,60.0,64.0,69.0,27.2,46.5
1605618740,55.0,60.0,65.0,69.0,27.2,46.6
1605618741,55.0,60.0,65.0,69.0,27.2,46.6
1605618742,56.0,60.0,65.0,69.0,27.2,46.6
1605618743,56.0,60.0,66.0,69.0,27.2,46.6
1605618744,56.0,60.0,67.0,69.0,27.2,46.6
1605618745,57.0,61.0,67.0,69.0,27.2,46.8
1605618746,57.0,61.0,68.0,69.0,27.2,46.8
1605618747,57.0,61.0,68.0,70.0,27.2,46.8
1605618748,57.0,62.0,68.0,70.0,27.2,46.8
1605618749,57.0,63.0,68.0,69.0,27.2,46.8
1605618750,56.0,63.0,68.0,69.0,27.2,46.7
1605618751,55.0,64.0,67.0,69.0,27.2,46.7
1605618752,55.0,64.0,67.0,69.0,27.2,46.7
1605618753,55.0,64.0,66.0,68.0,27.2,46.7
1605618754,55.0,64.0,65.0,68.0,27.2,46.7
1605618755,55.0,64.0,65.0,68.0,27.2,46.6
1605618756,55.0,64.0,64.0,68.0,27.2,46.6
1605618757,56.0,63.0,64.0,68.0,27.2,46.6
1605618758,56.0,63.0,63.0,68.0,27.2,46.6
1605618759,57.0,62.0,63.0,69.0,27.2,46.6
1605618760,57.0,61.0,62.0,69.0,27.2,46.4
1605618761,58.0,60.0,62.0,69.0,27.2,46.4
1605618762,58.0,60.0,62.0,70.0,27.2,46.4
1605618763,59.0,59.0,62.0,70.0,27.2,46.4
1605618764,59.0,59.0,62.0,70.0,27.2,46.4
1605618765,59.0,59.0,61.0,70.0,27.2,46.4
1605618766,59.1,58.9,61.0,70.0,27.2,46.4
1605618767,59.2,58.8,61.0,70.0,27.2,46.4
1605618768,59.3,58.7,61.0,70.0,27.2,46.4
1605618769,59.4,58.6,61.0,70.0,27.2,46.4
1605618770,59.5,58.5,61.0,70.0,27.2,46.4
1605618771,59.6,58.4,61.0,70.0,27.2,46.4
1605618772,59.7,58.3,61.0,70.0,27.2,46.4
1605618773,59.8,58.2,61.0,70.0,27.2,46.4
1605618774,59.9,58.1,61.0,70.0,27.2,46.4
1605618775,60.0,58.0,61.0,70.0,27.2,46.4
1605618776,60.0,59.0,61.0,70.0,27.2,46.4
1605618777,61.0,59.0,61.0,70.0,27.2,46.4
1605618778,61.0,60.0,61.0,70.0,27.2,46.4
1605618779,61.0,61.0,61.0,71.0,27.2,46.3
1605618780,61.0,60.0,61.0,71.0,27.2,46.3
1605618781,61.0,60.0,61.0,70.0,27.2,46.3
1605618782,61.0,59.0,61.0,70.0,27.2,46.3
1605618783,61.0,59.0,61.0,71.0,27.2,46.3
1605618784,61.0,59.0,62.0,71.0,27.2,46.3
1605618785,61.0,59.0,62.0,71.0,27.2,46.3
1605618786,61.0,59.0,63.0,72.0,27.2,46.3
1605618787,60.0,59.0,63.0,72.0,27.2,46.3
1605618788,60.0,60.0,64.0,72.0,27.2,46.3
1605618789,60.0,60.0,64.0,72.0,27.2,46.3
1605618790,60.0,61.0,65.0,72.0,27.2,46.3
1605618791,60.0,61.0,65.0,72.0,27.2,46.3
1605618792,59.0,61.0,65.0,73.0,27.2,46.3
1605618793,59.0,61.0,65.0,73.0,27.2,46.3
1605618794,58.0,61.0,65.0,73.0,27.2,46.3
1605618795,58.0,61.0,65.0,73.0,27.2,46.3
1605618796,58.0,61.0,65.0,74.0,27.2,46.3
1605618797,58.0,61.0,65.0,74.0,27.2,46.3
1605618798,58.0,61.0,65.0,74.0,27.2,46.3
1605618799,58.0,60.0,64.0,74.0,27.2,46.3
1605618800,58.0,60.0,64.0,74.0,27.2,46.3
1605618801,58.0,60.0,64.0,74.0,27.2,46.3
1605618802,59.0,60.0,63.0,74.0,27.2,46.3
1605618803,59.0,60.0,63.0,73.0,27.2,46.3
1605618804,59.0,60.0,62.0,73.0,27.2,46.3
1605618805,59.0,60.0,62.0,72.0,27.2,46.3
1605618806,60.0,60.0,62.0,71.0,27.2,46.3
1605618807,60.0,60.0,63.0,71.0,27.2,46.3
1605618808,60.0,60.0,63.0,70.0,27.2,46.3
1605618809,60.0,60.0,63.0,70.0,27.2,46.3
1605618810,60.0,60.0,63.0,70.0,27.2,46.3
1605618811,60.0,60.0,63.0,70.0,27.2,46.3
1605618812,60.0,60.0,63.0,70.0,27.2,46.3
1605618813,59.0,60.0,63.0,71.0,27.2,46.3
1605618814,58.0,60.0,63.0,71.0,27.2,46.6
1605618815,58.0,59.0,63.0,71.0,27.2,46.6
1605618816,58.0,59.0,63.0,71.0,27.2,46.6
1605618817,58.0,59.0,63.0,71.0,27.2,46.6
1605618818,58.0,59.0,62.0,71.0,27.2,46.6
1605618819,58.0,60.0,63.0,71.0,27.2,46.7
1605618820,58.0,60.0,62.0,71.0,27.2,46.7
1605618821,58.0,60.0,62.0,71.0,27.2,46.7
1605618822,58.0,60.0,62.0,71.0,27.2,46.7
1605618823,58.0,59.0,62.0,71.0,27.2,46.7
1605618824,58.0,59.0,62.0,71.0,27.2,46.7
1605618825,58.0,60.0,62.0,71.0,27.2,46.7
1605618826,58.0,59.0,62.0,71.0,27.2,46.7
1605618827,58.0,59.0,62.0,71.0,27.2,46.7
